"table","Reference","DOI","Description","URL..for.data.","BibTex"
"approaches_to_text_study1","Calloway RC, Helder A, Perfetti CA. Study 1 TReATQ, RH, NFC Raw Data [data set] from ""A measure of individual differences in readers' approaches to text and its relation to reading experience and reading comprehension"". Behav Res Methods. 2023 Feb;55(2):899-931. https://osf.io/e7xpy/?view_only=0b3180a18cd94803a7c743096c95dd79",NA,"Item responses for study 1 of the Approaches to Text Questionnaire wherein participants completed survey items to the 87-item TReAT-Q, need for cognition, and a subset of questions from the adult reading history questionnaire","https://osf.io/e7xpy/?view_only=0b3180a18cd94803a7c743096c95dd79","@article{Calloway2023,
  author = {Calloway, R. C. and Helder, A. and Perfetti, C. A.},
  title = {Study 1 TReATQ, RH, NFC Raw Data [data set] from ""A measure of individual differences in readers' approaches to text and its relation to reading experience and reading comprehension""},
  journal = {Behavior Research Methods},
  year = {2023},
  month = {February},
  volume = {55},
  number = {2},
  pages = {899--931},
  url = {https://osf.io/e7xpy/?view_only=0b3180a18cd94803a7c743096c95dd79},
  note = {Item responses for study 1 of the Approaches to Text Questionnaire wherein participants completed survey items to the 87-item TReAT-Q, need for cognition, and a subset of questions from the adult reading history questionnaire}
}"
"approaches_to_text_study2","Calloway RC, Helder A, Perfetti CA. Study 2 Data [data set] from ""A measure of individual differences in readers' approaches to text and its relation to reading experience and reading comprehension"". Behav Res Methods. 2023 Feb;55(2):899-931. https://osf.io/e7xpy/?view_only=0b3180a18cd94803a7c743096c95dd79",NA,"Item responses for study 2 of Approaches to Text wherein participants completed a host of surveys, which collected items on participants' comprehension, vocabulary, reading history, author recognition, etc","https://osf.io/e7xpy/?view_only=0b3180a18cd94803a7c743096c95dd80","@article{Calloway2023,
  author = {Calloway, R. C. and Helder, A. and Perfetti, C. A.},
  title = {Study 2 Data [data set] from ""A measure of individual differences in readers' approaches to text and its relation to reading experience and reading comprehension""},
  journal = {Behavior Research Methods},
  year = {2023},
  month = {February},
  volume = {55},
  number = {2},
  pages = {899--931},
  url = {https://osf.io/e7xpy/?view_only=0b3180a18cd94803a7c743096c95dd79},
  note = {Item responses for study 2 of Approaches to Text wherein participants completed a host of surveys, which collected items on participants' comprehension, vocabulary, reading history, author recognition, etc}
}"
"assistments_0910",NA,NA,"Response data for skill-building and non-skill-building items from ASSISTments. Data from SY 2009-10","https://sites.google.com/site/assistmentsdata/home/2009-2010-assistment-data","@misc{assistments_0910,
  title = {Response data for skill-building and non-skill-building items from ASSISTments},
  year = {2009},
  note = {Data from SY 2009-10},
  url = {https://sites.google.com/site/assistmentsdata/home/2009-2010-assistment-data},
  author = {NA}
}"
"assistments_1213",NA,NA,"Response data for items from ASSISTments. Data from SY 2012-13","https://sites.google.com/site/assistmentsdata/datasets/2012-13-school-data-with-affect","@misc{assistments_1213,
  title = {Response data for items from ASSISTments},
  year = {2012},
  note = {Data from SY 2012-13},
  url = {https://sites.google.com/site/assistmentsdata/datasets/2012-13-school-data-with-affect},
  howpublished = {ASSISTments Dataset}
}"
"assistments_1516",NA,NA,"Response data for items from ASSISTments. Data from SY 2015-16","https://sites.google.com/site/assistmentsdata/datasets/2015-assistments-skill-builder-data","@misc{assistments_1516,
  title = {Response data for items from ASSISTments},
  year = {2015},
  note = {Data from SY 2015-16},
  url = {https://sites.google.com/site/assistmentsdata/datasets/2015-assistments-skill-builder-data},
  howpublished = {ASSISTments Dataset}
}"
"assistments_2017",NA,NA,"Response data for items from ASSISTments. Data from ASSISTments Data Mining Competition 2017
","https://sites.google.com/view/assistmentsdatamining/dataset","@misc{assistments_2017,
  title = {Response data for items from ASSISTments},
  year = {2017},
  note = {Data from ASSISTments Data Mining Competition 2017},
  url = {https://sites.google.com/view/assistmentsdatamining/dataset}
}"
"blocked_interleaved_instruction","Patel, R., Liu, R., Koedinger, K. (2017) Dissertation data [dataset]. DataShop @ CMU. https://pslcdatashop.web.cmu.edu/DatasetInfo?datasetId=1190",NA,"Items from a study testing difference between blocked and interleaved instruction for fraction addition and multiplication","https://pslcdatashop.web.cmu.edu/Files?datasetId=1190","@misc{patel2017,
  author = {Patel, R. and Liu, R. and Koedinger, K.},
  title = {Dissertation data},
  year = {2017},
  howpublished = {DataShop @ CMU},
  url = {https://pslcdatashop.web.cmu.edu/DatasetInfo?datasetId=1190},
  note = {Items from a study testing difference between blocked and interleaved instruction for fraction addition and multiplication}
}"
"bpi_mplus","Kim, M., Winkler, C., & Talley, S. (2021). Binary item CFA of Behavior Problem Index (BPI) using Mplus: A step-by-step tutorial. The Quantitative Methods for Psychology, 17, 141-153.","10.20982/tqmp.17.2.p141","Behavior problems index from NLSY","https://www.tqmp.org/RegularArticles/vol17-2/p141/"," @article{Kim_2021, title={Binary item CFA of Behavior Problem Index (BPI) using Mplus: A step-by-step tutorial}, volume={17}, ISSN={2292-1354}, url={http://dx.doi.org/10.20982/tqmp.17.2.p141}, DOI={10.20982/tqmp.17.2.p141}, number={2}, journal={The Quantitative Methods for Psychology}, publisher={The Quantitative Methods for Psychology}, author={Kim, Minjung and Winkler, Christa and Talley, Susan}, year={2021}, month=jun, pages={141–153} }
"
"chemistry_tutor","Rau, M. A., Zahn, M., Misback, E., Herder, T., & Burstyn, J. (2021). Adaptive support for representational competencies during technology-based problem solving in chemistry [data set]. Journal of the Learning Sciences. doi:10.1080/10508406.2021.1888733","10.1080/10508406.2021.1888733","Over 10-week sequence of problem-solving activities, undergraduate students received either (1) fixed sequence of sense-making support and perceptual-fluency, or (2) adaptively assigned supports based on solving interactions. Findings were used to understand which intervention helped facilitate reduced confusion and mistake-making while problem solving in chemistry","https://pslcdatashop.web.cmu.edu/DatasetInfo?datasetId=4666"," @article{Rau_2021, title={Adaptive support for representational competencies during technology-based problem solving in chemistry}, volume={30}, ISSN={1532-7809}, url={http://dx.doi.org/10.1080/10508406.2021.1888733}, DOI={10.1080/10508406.2021.1888733}, number={2}, journal={Journal of the Learning Sciences}, publisher={Informa UK Limited}, author={Rau, Martina A. and Zahn, Miranda and Misback, Edward and Herder, Tiffany and Burstyn, Judith}, year={2021}, month=mar, pages={163–203} }
"
"chinese_vocabulary_learning","Pavlik, P. (2011). Motivation and Metacognition in Chinese Vocabulary Learning, Experiment 4 [data set]. DataShop @ CMU. https://pslcdatashop.web.cmu.edu/DatasetInfo?datasetId=459
",NA,"Likert scale items evaluating students' Chinese language learning strategies","https://pslcdatashop.web.cmu.edu/DatasetInfo?datasetId=459","@misc{Pavlik2011,
  author = {Pavlik, P.},
  title = {Motivation and Metacognition in Chinese Vocabulary Learning, Experiment 4},
  year = {2011},
  note = {Data set},
  howpublished = {DataShop @ CMU},
  url = {https://pslcdatashop.web.cmu.edu/DatasetInfo?datasetId=459}
}"
